Practice Area Name,Definition
Allergy and Immunology,"Deals with the sensitivity of the immune system in response to exposure to substances such as food, medications, insect stings, and environmental factors; includes treatment of asthma and hay fever."
CAT Scan (Radiology),scans use x rays to produce precise cross-sectional images of anatomical structures referred to as computed tomography imaging (aka CT Scan)
Cardiology,"Deals with the heart, blood vessels, and the circulatory system."
Dermatology,"Deals with the structure, function, and diseases of skin, hair, and nails."
"Ear, Nose, Throat","Deals with disorders of the ear, nose, and throat (larynx) areas."
Endocrinology,"Deals with the hormone-secreting glands (ex: thyroid, pituitary, adrenal, pancreas, ovaries, testes, etc.); also deals with diabetes."
Family & General Practice,"Deals with prevention, diagonosis and treatment for medical care of all ages."
Gastroenterology,"Deals with disorders related to the digestive system, including the intestines, stomach, liver, and other organs."
General Surgery,"Focuses on abdominal organs and the torso, e.g. intestines, esophagus, stomach, colon, liver, pancreas, gallbladder, thyroid gland, and issues involving the skin and hernias. "
Gynecology and Obstetrics,"Care for women before, during, and after pregnancy, and at menopause; also surgical treatment of female reproductive and urinary systems."
Internal Medicine,Deals with the diagnosis and non-surgical treatment of diseases of the internal organs.
MRI (Radiology),"Magnetic resonance imaging providing contrast contrast between the different soft tissues of the body, useful in neurological (brain), musculoskeletal, cardiovascular, and oncological (cancer) evaluation."
Neurology,"Deals with the treatment of the nervous system, including the brain, spinal cord, and nerves."
Ophthalmology,Deals with diseases of the eye and their treatment.
Orthopedics,"Concerned with correction or prevention of musculoskeletal (including bones, joints, ligaments, tendons, muscles, and nerves) deformities, disorders, or injuries."
Pain Management,"Deals with surgery, procedure, or other treatment designed to reduce pain and help patients achieve a reasonable quality of life and ability to function."
Pediatrics,"Deals with development, care, and diseases of children from infancy to young adulthood."
Podiatry,Deals with the care and treatment of the foot and its diseases.
Pulmonary Medicine,Deals with diagnosis and treatment of diseases affecting the respiratory system (lungs).
Rheumatology,"Deals with diseases associated with inflammation or pain in muscles, joints, or fibrous tissue; includes treatment of arthritis, rheumatism, and related diseases."
Ultrasound,"Ultrasound-based diagnostic medical imaging technique used to visualize muscles, tendons, and many internal organs, their size, structure and any pathological lesions with real time tomographic images. "
Urology,Deals with treatment of the urinary tract (male and female) and reproductive (male) organs.
X-Ray (Radiology),Concerned with the use of radiant energy (ex: x-rays) or radioactive material in the diagnosis and treatment of disease.
